1101   ,1102   ,1216   ,1301   ,1303   ,1326   ,1402   ,2002   ,2105   ,2201   ,2207   ,2227   ,2301   ,2303   ,2308   ,2311   ,2317   ,2324   ,2325   ,2330   ,2354   ,2357   ,2382   ,2409   ,2412   ,2454   ,2474   ,2498   ,2801   ,2880   ,2881   ,2882   ,2883   ,2884   ,2885   ,2886   ,2887   ,2890   ,2891   ,2892   ,2912   ,3008   ,3045   ,3474   ,3481   ,4904   ,4938   ,5880   ,6505   ,9904   ,
   37.51,   33.84,   44.11,   70.81,   66.08,   69.72,   29.18,   23.19,   62.82,   37.38,  464.89,  243.44,   32.60,   12.62,  168.92,   37.82,   70.88,   23.09,   42.80,  133.12,   76.90,  274.29,   66.88,   13.83,   85.85,  330.20,  319.78,  123.18,   15.01,   14.41,   59.00,   48.75,   11.06,   15.17,   15.63,   22.47,   11.42,   10.66,   18.06,   14.55,  211.94, 3047.13,   92.99,   34.90,   15.06,   63.34,   77.30,   12.97,   72.22,   38.88,
   37.42,   33.88,   44.11,   71.16,   66.34,   70.16,   29.09,   23.19,   62.48,   37.57,  473.99,  247.67,   32.69,   12.62,  166.68,   37.90,   70.88,   23.50,   43.47,  132.67,   76.98,  269.29,   67.05,   13.83,   86.11,  325.42,  322.52,  120.20,   14.93,   14.33,   58.39,   48.66,   10.90,   15.21,   15.68,   22.47,   11.50,   10.70,   18.02,   14.51,  209.66, 3075.79,   92.56,   32.60,   14.92,   63.86,   78.40,   12.97,   72.93,   38.43,
   37.29,   33.71,   44.03,   70.89,   66.25,   70.96,   29.18,   23.28,   61.96,   37.43,  467.62,  252.29,   32.73,   12.66,  166.68,   37.38,   70.80,   23.30,   42.72,  133.12,   77.07,  266.79,   66.62,   13.65,   86.20,  321.51,  319.78,  121.69,   14.81,   14.26,   57.35,   48.49,   10.81,   14.96,   15.59,   22.80,   11.38,   10.66,   17.83,   14.40,  209.20, 3008.92,   93.42,   33.60,   15.02,   63.60,   79.34,   12.93,   72.93,   38.61,
   36.65,   33.62,   43.76,   68.95,   64.10,   68.92,   29.53,   23.10,   61.87,   37.85,  467.62,  250.75,   32.06,   12.40,  165.33,   38.29,   70.12,   23.01,   41.39,  132.22,   78.13,  261.79,   66.62,   13.83,   85.59,  320.21,  312.47,  119.21,   14.57,   14.03,   55.71,   47.44,   10.18,   14.63,   14.93,   22.72,   11.13,   10.51,   17.19,   14.14,  206.92, 2965.94,   93.85,   32.85,   15.39,   62.57,   78.06,   12.78,   72.13,   39.69,
   36.78,   33.66,   43.85,   69.65,   65.05,   68.12,   29.62,   23.10,   61.87,   37.66,  466.71,  248.44,   32.27,   12.22,  164.89,   37.51,   70.57,   23.17,   40.48,  132.22,   78.40,  263.87,   65.36,   13.61,   85.76,  327.16,  309.73,  118.21,   14.53,   14.14,   57.44,   47.61,   10.26,   14.67,   15.28,   22.59,   11.13,   10.55,   17.19,   14.21,  205.55, 2980.26,   92.99,   32.45,   15.20,   62.65,   76.45,   12.78,   71.32,   39.64,
   36.86,   33.58,   43.85,   69.39,   64.53,   68.56,   29.66,   23.10,   62.13,   36.92,  472.17,  248.44,   32.06,   12.36,  159.51,   38.25,   70.96,   22.43,   40.65,  134.02,   80.52,  253.03,   65.44,   13.70,   85.94,  321.51,  321.60,  110.27,   14.53,   14.18,   56.92,   47.61,   10.31,   14.63,   15.28,   22.35,   11.18,   10.55,   17.08,   14.21,  204.63, 3037.58,   93.85,   30.45,   14.88,   63.08,   77.04,   12.74,   71.50,   40.36,
   37.04,   33.32,   45.69,   69.65,   65.74,   69.89,   29.66,   23.23,   62.13,   37.15,  479.44,  263.06,   31.64,   12.13,  158.61,   37.95,   70.57,   20.86,   40.65,  133.12,   79.90,  250.53,   63.25,   13.57,   85.94,  322.81,  317.95,  109.77,   14.53,   14.18,   57.09,   48.14,   10.39,   14.67,   15.11,   22.64,   11.22,   10.62,   17.46,   14.25,  206.46, 2970.71,   92.56,   32.55,   14.83,   62.48,   78.40,   12.89,   72.67,   42.29,
   37.34,   33.58,   46.48,   69.57,   64.96,   69.45,   29.71,   23.28,   61.78,   37.06,  472.17,  262.29,   32.06,   12.31,  155.03,   37.51,   71.95,   21.36,   40.94,  133.57,   82.99,  253.87,   63.50,   13.83,   85.59,  345.41,  322.97,  113.25,   14.45,   14.18,   57.44,   48.31,   10.35,   14.67,   15.15,   23.09,   11.13,   10.85,   17.23,   14.25,  204.63, 2985.04,   91.28,   34.80,   15.20,   62.82,   77.21,   13.01,   72.22,   42.38,
   36.91,   33.49,   47.62,   68.86,   63.32,   68.47,   29.18,   23.33,   61.78,   37.10,  461.25,  257.67,   32.90,   12.13,  155.03,   37.34,   71.34,   21.03,   40.44,  131.77,   82.99,  253.87,   63.08,   13.61,   85.33,  341.50,  317.04,  111.26,   14.29,   13.92,   54.59,   46.83,   10.05,   14.42,   14.93,   22.35,   10.89,   10.66,   16.78,   14.10,  203.72, 2970.71,   92.13,   34.25,   15.20,   62.91,   75.60,   12.82,   71.41,   42.07,
